,short_name,station_id,name,capacity,lat,lon,rental_uris.ios,rental_uris.android,region_id,date
634,6720.07,b64eb0a5-d6d4-4f45-8c9a-e2d004819c99,34 Ave & 31 St,19,40.759604471387945,-73.92714411020279,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
635,4965.01,66dce4fc-0aca-11e7-82f6-3863bb44ef7c,Lorimer St & Broadway,29,40.70411791,-73.94818595,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
636,5442.09,bd30f2a1-38ec-474d-9e36-07f688e87427,Manhattan Ave & Leonard St,18,40.72084,-73.94844,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
637,7922.01,ebce9ecb-9678-4c42-89d7-08e54bc6fe90,Faile St & Garrison Ave,19,40.820578,-73.888271,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
638,8241.07,c530a1cb-7c60-4651-be8a-9bfa5eb43f8a,3 Ave & E 174 St,35,40.84224,-73.8985,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
639,3981.10,66de103b-0aca-11e7-82f6-3863bb44ef7c,Dwight St & Van Dyke St,23,40.67363551341504,-74.01195555925369,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
640,4416.10,753591ba-36f7-4ded-ab7d-40df9994a05f,Madison St & Malcolm X Blvd,25,40.68713,-73.93008,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
641,7432.04,66dde343-0aca-11e7-82f6-3863bb44ef7c,W 90 St & Amsterdam Ave,31,40.79017948095081,-73.97288918495178,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
642,6533.02,1828969726487003714,37 Ave & 106 St,19,40.75397,-73.862,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,,2024-01-12 21:02:40
643,8107.10,514afe43-84d4-4941-8281-75a93c5cd365,Morris Ave & McClellan St,22,40.831584,-73.9149,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
644,4031.05,03872f6b-a522-4c41-a4f2-5d0c41779e7b,St Marks Ave & Ralph Ave,19,40.67372,-73.92199,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
645,5788.13,66db65aa-0aca-11e7-82f6-3863bb44ef7c,Lafayette St & E 8 St,105,40.73020660529954,-73.99102628231049,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
646,6365.10,1836581441921155232,79 St & 37 Ave,21,40.74937,-73.88714,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,,2024-01-12 21:02:40
647,8802.05,1861680889400379678,W 233 St & Albany Crescent,20,40.87979,-73.90164,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,,2024-01-12 21:02:40
648,8403.02,cf284d60-23e7-49ec-91dc-8bfedb59cb6a,E Tremont Ave & Jerome Ave,20,40.851747,-73.908964,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
649,8707.01,5eac53d0-5510-441a-9dbb-76bd38acf4ef,Goulden Ave & W 197 St,20,40.87156,-73.89714,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
650,3093.07,380394f7-64fa-4a65-a4d1-7bcaddd41fab,57 St & 4 Ave,22,40.642622,-74.016866,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
